                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 0.5326,                 1.0476,                 1.0848,                0.83391,                0.74398,                0.85014,                0.76769,                0.36679,                0.88143,                0.98259,              0.0086041,              0.0086041,              0.0086041
                    143,                0.53378,                 1.0585,                 1.0842,                0.85453,                0.77772,                 0.8755,                0.79701,                0.34991,                0.76897,                0.96993,              0.0085942,              0.0085942,              0.0085942
                    144,                0.53338,                 1.0488,                 1.0865,                0.88061,                0.81323,                0.90159,                0.82771,                0.33239,                0.65509,                0.95686,              0.0085843,              0.0085843,              0.0085843
                    145,                0.53081,                 1.0547,                 1.0845,                0.90706,                 0.8278,                0.91692,                0.84539,                0.32226,                0.59274,                0.94892,              0.0085744,              0.0085744,              0.0085744
                    146,                0.53651,                 1.0704,                 1.0911,                0.92938,                0.86162,                0.93739,                0.87318,                0.29911,                0.49066,                0.93236,              0.0085645,              0.0085645,              0.0085645
                    147,                0.53405,                 1.0547,                 1.0868,                0.91552,                0.84012,                0.92528,                0.85679,                0.31195,                0.55319,                 0.9415,              0.0085546,              0.0085546,              0.0085546
                    148,                0.53044,                 1.0427,                  1.084,                 0.9133,                0.83778,                0.92356,                0.85487,                0.31321,                0.56233,                0.94237,              0.0085447,              0.0085447,              0.0085447
                    149,                0.53379,                 1.0546,                 1.0848,                0.90284,                0.82937,                0.91633,                 0.8459,                0.31975,                0.59732,                0.94714,              0.0085348,              0.0085348,              0.0085348
                    150,                 0.5344,                 1.0537,                 1.0868,                0.90881,                0.83709,                0.92121,                0.85189,                  0.316,                  0.573,                0.94424,              0.0085249,              0.0085249,              0.0085249
                    151,                0.53796,                 1.0552,                 1.0878,                0.90918,                0.83919,                0.92247,                0.85301,                0.31547,                0.56863,                0.94375,               0.008515,               0.008515,               0.008515
